Subject,Progress,DurationSec,Finished,UserLanguage,Instructions,Trick,V1_FirstClick,V1_LastClick,V1_PageSubmit,V1_ClickCount,V1_r,V1_c,V2_FirstClick,V2_LastClick,V2_PageSubmit,V2_ClickCount,V2_r,V2_c,V3_FirstClick,V3_LastClick,V3_PageSubmit,V3_ClickCount,V3_r,V3_c,V4_FirstClick,V4_LastClick,V4_PageSubmit,V4ClickCount,V4_r,V4_c,Open,GL1,GL2,GL3,GL4,GL5,GL6,GL7,GL8,GL9,GL10,GL11,GL12,GL13,Ed,Gender,Gender_5_TEXT,Age
51,100,147,TRUE,EN,Improving,quickly,0.535,5.307,5.528,2,Improving,5 (very confident),2.005,2.005,2.366,1,Declining,5 (very confident),2.156,2.156,2.968,1,Declining,5 (very confident),2.333,2.333,2.622,1,Improving,5 (very confident),Murders declining per year and vacation days improving per year,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,28
52,100,233,TRUE,EN,Improving,quickly,2.818,2.818,4.447,1,Improving,5 (very confident),1.043,1.043,2.464,1,Declining,5 (very confident),0.898,2.202,4.088,3,Declining,5 (very confident),1.82,1.82,2.377,1,Improving,5 (very confident),"I looked at the slope, then looked at the x axis to see if higher was better or not.",35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can’t say,Tiosis,5,Bachelor's degree in college (4-year),Female,NA,34
53,100,261,TRUE,EN,Improving,quickly,3.178,3.178,5.039,1,Improving,5 (very confident),5.411,5.981,6.452,3,Declining,5 (very confident),3.231,3.231,4.02,1,Improving,4,7.398,7.398,11.035,1,Declining,4,"I thought ""improve"" to mean going up and ""decline"" to mean going down. So though the murders were going up, which is bad, it still means ""improving"" to me on the graph.",35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can’t say,Tiosis,5,High school graduate (high school diploma or equivalent including GED),Female,NA,32
54,100,304,TRUE,EN,Improving,quickly,2.853,2.853,3.493,1,Improving,5 (very confident),5.871,5.871,7.677,1,Declining,5 (very confident),2.762,2.762,5.579,1,Declining,5 (very confident),3.859,11.034,11.801,5,Improving,5 (very confident),"Both axes and what they were labeled to determine if a situation was improving or declining (ex, murders going up over time is a declining situation whereas vacation days going up over time is an improving situation)",35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,31
55,100,363,TRUE,EN,NA,quickly,2.878,4.966,5.905,2,Improving,5 (very confident),2.404,4.126,4.954,2,Declining,5 (very confident),4.846,8.453,9.253,2,Declining,5 (very confident),2.671,4.463,5.399,2,Improving,5 (very confident),"Decided whether the noun in the title was good or bad (e.g., vacation days vs murders), then looked to see whether slope of line was upward or downward",35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Can’t say,Tiosis,5,Bachelor's degree in college (4-year),Female,NA,56
56,100,292,TRUE,EN,Improving,quickly,3.682,3.682,5.495,1,Improving,5 (very confident),8.352,8.352,10.618,1,Declining,5 (very confident),6.207,6.207,7.129,1,Improving,5 (very confident),10.135,10.135,10.832,1,Declining,5 (very confident),looking at the graph,35,5,25,25,20,Increase was the same in both intervals,24,40,20,Crosicol,Nopsorian,Tiosis,5,Some college but no degree,Male,NA,33
57,100,341,TRUE,EN,Improving,quickly,2.847,4.567,5.359,2,Improving,4,2.868,2.868,3.578,1,Improving,5 (very confident),1.675,3.019,3.866,3,Improving,5 (very confident),4.371,4.371,5.498,1,Declining,2,i just tried to go fast ,35,10,25,25,20,From 2000 to 2005,25,40,60,Hertinol,Nopsorian,Coliosis,5,Bachelor's degree in college (4-year),Male,NA,40
58,100,394,TRUE,EN,Improving,quickly,3.735,3.735,4.651,1,Improving,5 (very confident),8.772,8.772,10.15,1,Declining,5 (very confident),5.91,5.91,7.618,1,Declining,5 (very confident),10.903,10.903,14.476,1,Declining,5 (very confident),just read what the graph portrayed,35,5,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,50,Bachelor's degree in college (4-year),Female,NA,66
59,100,310,TRUE,EN,Improving,quickly,3.567,3.567,5.339,1,Improving,5 (very confident),6.129,6.129,6.809,1,Declining,5 (very confident),7.047,7.047,8.105,1,Declining,5 (very confident),9.973,9.973,12.642,1,Declining,4,I looked at the type of incident (good or bad) and then analyzed the graph pattern.,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,29
60,100,325,TRUE,EN,Improving,quickly,1.441,1.441,2.369,1,Improving,5 (very confident),2.246,2.246,7.432,1,Declining,1 (not at all confident),3.077,3.077,4.558,1,Declining,5 (very confident),6.91,6.91,7.825,1,Improving,2,"The direction of the line, and what is actually on the x axis (more murders is a bad thing)",35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Female,NA,32
61,100,537,TRUE,EN,Improving,quickly,3.604,28.076,30.166,5,Improving,5 (very confident),2.239,2.239,2.283,1,Declining,5 (very confident),3.971,3.971,4.015,1,Improving,5 (very confident),14.67,14.67,14.709,1,Declining,5 (very confident),I based my decisions on how I interpreted the graphs,35,15,25,25,20,From 2000 to 2005,24,40,20,They are equal,Can’t say,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,43
