Subject,StartDate,EndDate,Status,Progress,DurationSec,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,instructions1,trick,V1_FirstClick,V1_LastClick,V1_PageSubmit,V1_ClickCount,V1_r,V1_c,V2_FirstClick,V2_LastClick,V2_PageSubmit,V2_ClickCount,V2_r,V2_c,V3_FirstClick,V3_LastClick,V3_PageSubmit,V3_ClickCount,V3_r,V3_c,V4_FirstClick,V4_LastClick,V4_PageSubmit,V4ClickCount,V4_r,V4_c,Open,GL1,GL2,GL3,GL4,GL5,GL6,GL7,GL8,GL9,GL10,GL11,GL12,GL13,Ed,Gender,Gender_5_TEXT,Age
,Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Instructions:
Please read the following instructions carefully. On the next page, you will be asked a question about the information in these instructions. Incorrect responses will result in the survey exiting, and you will not receive a payment code for Mechanical Turk.

 
Task:

You will look at graphs like the one below and then answer questions about them. These graphs will show trends over time in different cities. Each graph shows a trend for a different city.​

 



 
 

 
 

Based on these trends, you will be asked: ""What can you say about the situation in this city?"" You will click inside one of the boxes to select your preferred judgment.","Complete the sentence with the appropriate 7 letter word:  


During this study, it is important that you make your judgments as  _ _ _ _ _ _ _ and accurately as possible.  

 

Please enter your response in the text box using only lower case letters.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"​




What can you say about the situation in Tilson?",How confident are you in your response?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"​




What can you say about the situation in Bayton?",How confident are you in your response?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"​




What can you say about the situation in Torley?",How confident are you in your response?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"​




What can you say about the situation in Darson?",How confident are you in your response?,We are very interested in how you made your decisions. Please list all the things you considered when making your judgments.,"Here is some information about cancer therapies.
​

What percentage of patients recovered after chemotherapy?",What is the difference between the percentage of patients who recovered after a surgery and the percentage of patients who recovered after radiation therapy?,"​Here is some information about different forms of cancer.




Of all the people who die from cancer, approximately what percentage dies from lung cancer?","Approximately what percentage of people who die from cancer die from colon cancer, breast cancer, and prostate cancer taken together?","Here is some information about an imaginary disease called Adeolitis.



Approximately what percentage of people had Adeolitis in the year 2000?",When was the increase in the percentage of people with Adeolitis higher?,"According to your best guess, what will the percentage of people with Adeolitis be in the year 2010?","​The following figure shows the number of men and women among the patients with disease X. The total number of circles is 100. 


​

Of the 100 patients with disease X, how many are women?",How many more men than women are there among the 100 patients with disease X?,"In a magazine, you see two advertisements, one on page 5 and another on page 12. Each is for a different drug for treating heart disease, and each includes a graph showing the effectiveness of the drug compared to a placebo (sugar pill).
​



Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die?","In the newspaper, you see two advertisements, one on page 15 and another on page 17. Each is for a different treatment of psoriasis, and each includes a graph showing the effectiveness of the treatment over time.
​


Which of the treatments contributes to a larger decrease in the percentage of sick patients?","Here is some information about the imaginary diseases Coliosis and Tiosis.




Between 1980 and 1990, which disease had a higher increase in the percentage of people affected?","Here is some information about cancer therapies.  

What is the percentage of the cancer patients who die after chemotherapy?",What is the highest level of school you have completed or the highest degree you have received?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,What is your age?
,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID458_FIRST_CLICK""}","{""ImportId"":""QID458_LAST_CLICK""}","{""ImportId"":""QID458_PAGE_SUBMIT""}","{""ImportId"":""QID458_CLICK_COUNT""}","{""ImportId"":""QID320""}","{""ImportId"":""QID460""}","{""ImportId"":""QID463_FIRST_CLICK""}","{""ImportId"":""QID463_LAST_CLICK""}","{""ImportId"":""QID463_PAGE_SUBMIT""}","{""ImportId"":""QID463_CLICK_COUNT""}","{""ImportId"":""QID464""}","{""ImportId"":""QID465""}","{""ImportId"":""QID467_FIRST_CLICK""}","{""ImportId"":""QID467_LAST_CLICK""}","{""ImportId"":""QID467_PAGE_SUBMIT""}","{""ImportId"":""QID467_CLICK_COUNT""}","{""ImportId"":""QID468""}","{""ImportId"":""QID469""}","{""ImportId"":""QID471_FIRST_CLICK""}","{""ImportId"":""QID471_LAST_CLICK""}","{""ImportId"":""QID471_PAGE_SUBMIT""}","{""ImportId"":""QID471_CLICK_COUNT""}","{""ImportId"":""QID472""}","{""ImportId"":""QID473""}","{""ImportId"":""QID213_TEXT""}","{""ImportId"":""QID277_TEXT""}","{""ImportId"":""QID278_TEXT""}","{""ImportId"":""QID279_TEXT""}","{""ImportId"":""QID280_TEXT""}","{""ImportId"":""QID281_TEXT""}","{""ImportId"":""QID282""}","{""ImportId"":""QID283_TEXT""}","{""ImportId"":""QID284_TEXT""}","{""ImportId"":""QID285_TEXT""}","{""ImportId"":""QID286""}","{""ImportId"":""QID287""}","{""ImportId"":""QID288""}","{""ImportId"":""QID289_TEXT""}","{""ImportId"":""QID249""}","{""ImportId"":""QID253""}","{""ImportId"":""QID253_5_TEXT""}","{""ImportId"":""QID275_TEXT""}"
252,05/04/2019 21:48,05/04/2019 21:55,IP Address,100,438,TRUE,05/04/2019 21:55,R_b7Y1ZtrKPxqyVyh,,,,,40.67500305,-73.67310333,anonymous,EN,Declining,quickly,0,0,2.764,0,Declining,4,14.842,14.842,16.274,1,Declining,3,6.227,11.335,14.583,2,Improving,4,4.756,4.756,5.503,1,Improving,4,"I considered both the direction of the line on the graph and the layout of the numbers, as well as the context of the topic (i.e. for a subject like the number of murders in a city, a lower number is better)",35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can’t say,Tiosis,50,Bachelor's degree in college (4-year),Female,,36
253,05/04/2019 22:35,05/04/2019 22:40,IP Address,100,326,TRUE,05/04/2019 22:40,R_ZBF5j5lqKHz6PLj,,,,,41.28540039,-96.1493988,anonymous,EN,Declining,quickly,0,0,1.599,0,Improving,5 (very confident),7.743,7.743,10.449,1,Declining,5 (very confident),2.136,2.136,4.571,1,Declining,5 (very confident),3.165,4.238,5.735,2,Improving,5 (very confident),"I assumed that more vacation days was better, and fewer murders was better.",35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can’t say,Tiosis,5,Master's degree,Male,,39
254,05/04/2019 22:32,05/04/2019 22:46,IP Address,100,852,TRUE,05/04/2019 22:46,R_1I58JJm0NrR0gVq,,,,,13.08430481,80.28048706,anonymous,EN,Improving,quickly,0,0,7.009,0,Improving,4,1.308,1.308,2.523,1,Improving,4,5.211,5.211,7.421,1,Improving,5 (very confident),1.537,1.537,2.689,1,Improving,4,"Focusing on the symptoms instead of the problem
Having no clear picture of the desired outcome
Becoming fixated on only one option
Making decisions that do not align with the overall goals of the organization
Missing opportunities to set decision criteria
Failing to evaluate enacted decisions",45,5,40,30,20,From 2000 to 2005,24,80,80,They are equal,They are equal,The increase was equal,5,Bachelor's degree in college (4-year),Female,,24
255,05/04/2019 22:47,05/04/2019 22:51,IP Address,100,282,TRUE,05/04/2019 22:51,R_3NOt2kqEF21Qxh4,,,,,37.5625,-122.0003967,anonymous,EN,Improving,quickly,0,0,1.349,0,Declining,4,5.939,5.939,7.023,1,Declining,3,1.532,1.532,3.475,1,Declining,4,3.828,17.716,19.902,3,Improving,4,if the graph is going up or down and what the situation is,35,5,25,25,20,Increase was the same in both intervals,25,40,60,Hertinol,Nopsorian,Coliosis,5,Bachelor's degree in college (4-year),Male,,27
256,05/04/2019 22:53,05/04/2019 22:59,IP Address,100,364,TRUE,05/04/2019 22:59,R_3MoEkELYqP0Mn6G,,,,,9.966705322,76.23330688,anonymous,EN,Improving,quickly,0,0,167.797,0,Improving,4,1.059,1.059,1.965,1,Improving,4,3.082,3.082,3.875,1,Improving,4,2.931,2.931,4.781,1,Improving,4,"Making decisions that do not align with the overall goals of the organization
Missing opportunities to set decision criteria
Failing to evaluate enacted decisions",35,30,25,10,20,Increase was the same in both intervals,25,80,80,They are equal,They are equal,The increase was equal,5,Bachelor's degree in college (4-year),Male,,25
257,05/04/2019 22:55,05/04/2019 23:06,IP Address,100,646,TRUE,05/04/2019 23:06,R_vT8yP15J3G8nwxr,,,,,37.81069946,-122.2478943,anonymous,EN,Declining,quickly,0,0,1.33,0,Declining,4,2.568,2.568,8.426,1,Improving,4,2.9,2.9,4.713,1,Improving,5 (very confident),1.822,1.822,4.769,1,Declining,5 (very confident),Whether the things that were increasing/decreasing were beneficial or harmful,35,10,25,25,20,Increase was the same in both intervals,25,40,60,Crosicol,Nopsorian,Tiosis,5,High school graduate (high school diploma or equivalent including GED),Male,,38
258,05/04/2019 23:12,05/04/2019 23:14,IP Address,100,141,TRUE,05/04/2019 23:14,R_WBTEPJeBSf6gxk5,,,,,9.966705322,76.23330688,anonymous,EN,Improving,quickly,0,0,2.817,0,Improving,4,1.62,1.62,2.252,1,Improving,5 (very confident),3.934,3.934,4.578,1,Improving,4,1.24,12.368,12.766,2,Improving,5 (very confident),Identify the decision. The first step in making the right decision is recognizing the problem or opportunity and deciding to address it. Determine why this decision will make a difference to your customers or fellow employees.,35,30,20,10,20,Increase was the same in both intervals,25,80,80,They are equal,They are equal,The increase was equal,5,Bachelor's degree in college (4-year),Male,,24
259,05/04/2019 23:00,05/04/2019 23:15,IP Address,100,873,TRUE,05/04/2019 23:15,R_1F9QQ7KDgniRozY,,,,,13.08430481,80.28048706,anonymous,EN,,quickly,0.737,0.737,1.593,1,Improving,4,0.917,1.373,1.918,2,Improving,4,1.172,1.98,2.7,3,Improving,3,528.617,529.096,529.915,2,Improving,4,identifing,35,30,25,10,20,From 2000 to 2005,25,80,80,Hertinol,They are equal,The increase was equal,5,Bachelor's degree in college (4-year),Male,,24
