Subject,Progress,DurationSec,Finished,UserLanguage,Instructions,Trick,G2_V1_time_First Click,G2_V1_time_Last Click,G2_V1_time_Page Submit,G2_V1_time_Click Count,G2_V1_r,G2_V2_time_First Click,G2_V2_time_Last Click,G2_V2_time_Page Submit,G2_V2_time_Click Count,G2_V2_r,G2_V3_time_First Click,G2_V3_time_Last Click,G2_V3_time_Page Submit,G2_V3_time_Click Count,G2_V3_r,G2_V4_time_First Click,G2_V4_time_Last Click,G2_V4_time_Page Submit,G2_V4_time_Click Count,G2_V4_r,Open,Ed,Gender,Gender_5_TEXT,Age,Handed
1,100,126,TRUE,EN,Improving,city,2.288,2.288,2.646,1,Improving,2.106,2.106,2.497,1,Declining,0,0,7.69,0,Improving,1.96,1.96,2.294,1,Declining,thought logically about the answer,Associate degree in college (2-year),Female,NA,34,right
2,100,127,TRUE,EN,Declining,city,5.268,5.268,5.895,1,Improving,10.613,10.613,11.31,1,Declining,5.296,5.296,6.031,1,Declining,6.652,9.883,11.377,2,Improving,The x and y axes and the effect of the trend on the city.,Bachelor's degree in college (4-year),Male,NA,37,right
3,100,99,TRUE,EN,Improving,city,2.965,2.965,3.436,1,Improving,4.053,4.053,4.97,1,Declining,3.62,3.62,4.583,1,Declining,6.378,6.378,12.648,1,Improving,I realized I had to pay careful attention to unusual ways in which the x and y axis were categorized and laid out.,Bachelor's degree in college (4-year),Male,NA,33,right
4,100,188,TRUE,EN,Improving,city,3.604,3.604,5.134,1,Improving,15.094,15.694,17.098,2,Declining,4.209,4.209,7.571,1,Declining,4.94,4.94,7.303,1,Improving,"I made my decisions based on the graph. I looked at which way the line was going and what year, as well as the information at the bottom.",Associate degree in college (2-year),Male,NA,65,right
5,100,254,TRUE,EN,Improving,city,4.742,4.742,5.515,1,Improving,4.461,4.461,5.282,1,Declining,3.625,3.625,7.842,1,Declining,6.501,6.501,7.763,1,Improving,For something positive like vacation days the graph line needs to go the right as it goes upward for it to be improving. For something bad like murders the graph line has to go to the left as it goes up for it to be an improvement. Positive events the number has to increase - negative events the number has to decrease.,High school graduate (high school diploma or equivalent including GED),Male,NA,42,right
6,100,236,TRUE,EN,Improving,city,4.405,7.085,7.912,3,Improving,11.631,13.511,13.902,3,Declining,2.535,16.415,16.968,7,Improving,6.415,25.334,25.798,4,Improving,I based it my judgments on year first then the x value,Associate degree in college (2-year),Female,NA,32,right
7,100,180,TRUE,EN,Improving,city,8.131,8.131,11.294,1,Improving,4.348,4.348,6.114,1,Declining,12.522,12.522,14.274,1,Neither declining or improving,9.85,9.85,11.064,1,Declining,"i had to orient myself with the graph, then it was just logical",Bachelor's degree in college (4-year),Female,NA,68,right
8,100,206,TRUE,EN,Improving,city,5.625,5.625,11.025,1,Improving,6.397,6.397,8.708,1,Improving,2.659,6.063,10.783,2,Declining,10.352,12.164,13.883,2,Declining,I looked at the graph to see what they were measuring and then I saw  whether it was going up or down for that city,Associate degree in college (2-year),Female,NA,54,right
9,100,170,TRUE,EN,Declining,city,3.055,3.055,4.166,1,Improving,0.858,4.29,6.688,2,Declining,3.492,3.492,4.945,1,Declining,2.532,2.532,3.734,1,Improving,"Depending on the item that was increasing or decreasing, I selected Improving or Declining. Murder is bad, Vacation is good, etc.",Bachelor's degree in college (4-year),Female,NA,45,right
10,100,1016,TRUE,EN,Improving,city,5.321,5.321,7.432,1,Improving,9.453,9.453,12.209,1,Declining,21.321,21.321,30.425,1,Neither declining or improving,8.182,8.182,9.951,1,Improving,"I thought about what the words meant, like ""improve"" and ""decline"" in the context of that topic, such as a murder. For some, the words made sense, for others, the words didn't really apply.",Bachelor's degree in college (4-year),Male,NA,37,right
11,100,119,TRUE,EN,Improving,city,3.222,3.222,3.998,1,Improving,2.374,2.374,11.079,1,Declining,2.228,2.228,4.52,1,Declining,11.317,11.317,11.783,1,Declining,If the event was good/bad then how much it improved/declined during the years shown.,Bachelor's degree in college (4-year),Male,NA,29,right
12,100,183,TRUE,EN,Improving,city,3.555,4.595,5.456,2,Improving,4.824,4.824,5.75,1,Improving,4.398,4.398,6.008,1,Declining,20.565,20.565,21.347,1,Declining,By what the graph showed...if numbers were higher or lower over time.,Bachelor's degree in college (4-year),Female,NA,37,right
13,100,152,TRUE,EN,Improving,city,5.44,5.44,7.08,1,Improving,5.52,5.52,6.153,1,Declining,4.737,6.945,8.035,2,Declining,3.467,4.418,5.303,2,Declining,how the line was on the graph ,High school graduate (high school diploma or equivalent including GED),Male,NA,42,right
14,100,368,TRUE,EN,Improving,city,2.77,2.77,3.5,1,Improving,38.759,49.778,50.751,4,Declining,2.508,2.508,3.501,1,Declining,6.276,7.243,7.962,2,Improving,what the chart was about. the context of the chart,Associate degree in college (2-year),Male,NA,29,right
