StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,instructions1,trick,G4_V1_time_First Click,G4_V1_time_Last Click,G4_V1_time_Page Submit,G4_V1_time_Click Count,G4_V1_r,G4_V2_time_First Click,G4_V2_time_Last Click,G4_V2_time_Page Submit,G4_V2_time_Click Count,G4_V2_r,G4_V3_time_First Click,G4_V3_time_Last Click,G4_V3_time_Page Submit,G4_V3_time_Click Count,G4_V3_r,G4_V4_time_First Click,G4_V4_time_Last Click,G4_V4_time_Page Submit,G4_V4_time_Click Count,G4_V4_r,Open,Ed,Gender,Gender_5_TEXT,Age,Handed
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Instructions:
Please read the following instructions carefully. On the next page, you will be asked a question about the information in these instructions. Incorrect responses will result in the survey exiting, and you will not receive a payment code for Mechanical Turk.

 
Task:
You will look at graphs like the one below and then answer questions about them. These graphs will show trends over time in different cities. Each graph shows a trend for a different city.​





 

 
 

Based on these trends, you will be asked: What can you say about the situation in this city?  You will click inside one of the boxes to select your preferred judgment.","Complete the sentence with the appropriate 4 letter word that starts with a ""c"":  


""Each graph will show a trend for a different   _ _ _ _ ""  

 

Please enter your response in the text box using only lower case letters.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"​




What can you say about the situation in Tilson?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"​




What can you say about the situation in Bayton?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"​




What can you say about the situation in Torley?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"​




What can you say about the situation in Darson?",We are very interested in how you made your decisions. Please list all the things you considered when making your judgments.,What is the highest level of school you have completed or the highest degree you have received?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,What is your age?,Are you left or right handed?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID458_FIRST_CLICK""}","{""ImportId"":""QID458_LAST_CLICK""}","{""ImportId"":""QID458_PAGE_SUBMIT""}","{""ImportId"":""QID458_CLICK_COUNT""}","{""ImportId"":""QID320""}","{""ImportId"":""QID463_FIRST_CLICK""}","{""ImportId"":""QID463_LAST_CLICK""}","{""ImportId"":""QID463_PAGE_SUBMIT""}","{""ImportId"":""QID463_CLICK_COUNT""}","{""ImportId"":""QID464""}","{""ImportId"":""QID467_FIRST_CLICK""}","{""ImportId"":""QID467_LAST_CLICK""}","{""ImportId"":""QID467_PAGE_SUBMIT""}","{""ImportId"":""QID467_CLICK_COUNT""}","{""ImportId"":""QID468""}","{""ImportId"":""QID471_FIRST_CLICK""}","{""ImportId"":""QID471_LAST_CLICK""}","{""ImportId"":""QID471_PAGE_SUBMIT""}","{""ImportId"":""QID471_CLICK_COUNT""}","{""ImportId"":""QID472""}","{""ImportId"":""QID213_TEXT""}","{""ImportId"":""QID249""}","{""ImportId"":""QID253""}","{""ImportId"":""QID253_5_TEXT""}","{""ImportId"":""QID275_TEXT""}","{""ImportId"":""QID456""}"
11/02/2019 17:41,11/02/2019 17:44,IP Address,100,167,TRUE,11/02/2019 17:44,R_3hlQRD3uy3pxpWr,,,,,41.67860413,-85.957901,anonymous,EN,Improving,city,7.188,7.188,8.469,1,Improving,3.961,8.176,11.644,2,Declining,5.19,5.19,6.501,1,Declining,5.244,5.244,8.43,1,Improving,the number over time,Less than high school degree,Male,,54,right
11/02/2019 17:41,11/02/2019 17:45,IP Address,100,240,TRUE,11/02/2019 17:45,R_1jZjvvkPTF4AZ86,,,,,34.60110474,-112.3258972,anonymous,EN,Improving,city,6.562,6.562,7.326,1,Improving,3.052,3.052,4.398,1,Declining,2.986,2.986,4.824,1,Declining,3.504,3.504,5.802,1,Improving,"if there is more cars then the average wealth of the citizens is increasing, which is good. if the number of vacation days is increasing that mean workers are being paid more/are more productive, which is good.",Bachelor's degree in college (4-year),Male,,29,right
11/02/2019 17:42,11/02/2019 17:46,IP Address,100,249,TRUE,11/02/2019 17:46,R_1oIpPG8bJb4sF8g,,,,,32.26989746,-110.9852982,anonymous,EN,Improving,city,2.89,3.68,5.657,2,Improving,10.945,24.098,25.033,6,Declining,5.246,6.623,9.585,2,Declining,3.149,14.724,16.112,4,Improving,"Well first i looked at the confusing backwards graphs and tried to figure out if the number of whatever was going up or down over time. Then I tried to figure out whether going up or down was an 'improvement' or a decline. I figured murder going up was a decline, and that vacation days going up was an improvement.",Bachelor's degree in college (4-year),Male,,49,right
11/02/2019 17:50,11/02/2019 17:52,IP Address,100,113,TRUE,11/02/2019 17:52,R_22AlRv2oJeGKYFF,,,,,33.479599,-88.35279846,anonymous,EN,Improving,city,5.178,6.311,6.601,2,Improving,1.07,9.421,10.439,6,Declining,6.546,8.953,9.668,4,Declining,4.329,5.37,5.778,2,Declining,Making sure to read the graph correctly ,Bachelor's degree in college (4-year),Female,,43,right
11/02/2019 17:50,11/02/2019 17:53,IP Address,100,194,TRUE,11/02/2019 17:53,R_1jQ978zVT1ABjCo,,,,,37.3881073,-121.8755951,anonymous,EN,Improving,city,2.357,2.357,3.579,1,Improving,4.265,4.265,5.503,1,Declining,2.516,2.516,3.805,1,Improving,4.833,12.84,14.671,2,Declining,I just went by the graph. If there was an increase in the number I put improve or vice versa. I didn't make a judgement.,Bachelor's degree in college (4-year),Male,,48,right
11/02/2019 17:55,11/02/2019 17:58,IP Address,100,194,TRUE,11/02/2019 17:58,R_2VqhoHMXDUOBfyn,,,,,40.66430664,-73.9763031,anonymous,EN,Declining,city,4.114,4.114,4.945,1,Improving,6.331,6.331,8.523,1,Declining,4.861,4.861,7.326,1,Declining,7.053,7.053,8.259,1,Declining,I looked at whether more or less of what was being measured was good or bad for residents.,Bachelor's degree in college (4-year),Male,,49,right
11/02/2019 17:57,11/02/2019 17:59,IP Address,100,125,TRUE,11/02/2019 17:59,R_3PZXP1QMXO8tFOF,,,,,25.77409363,-80.18170166,anonymous,EN,Improving,city,3.515,3.515,4.663,1,Improving,2.759,2.759,4.885,1,Declining,5.269,5.269,7.608,1,Improving,4.522,4.522,6.259,1,Declining,I read the graph and compared the numbers per year.,Bachelor's degree in college (4-year),Female,,36,right
11/02/2019 17:56,11/02/2019 18:00,IP Address,100,239,TRUE,11/02/2019 18:00,R_a4qOh0CxSPTnPhv,,,,,27.32539368,-82.47329712,anonymous,EN,Improving,city,2.726,2.726,4.518,1,Improving,5.484,5.484,8.748,1,Declining,11.241,11.241,14.614,1,Declining,3.266,3.266,6.037,1,Declining,Whether or not people people got more vacation days which was an improvement if they got more and whether or not the murder rates rose which was a decline in safety if the murder numbers rose.,Some college but no degree,Female,,65,left
